mass, logp, h_d, h_a, rot_b, tpsa, target
329.49, 5.43, 1, 1, 8, 12.03, cardio
368.1, -1.88, 4, 2, 2, 95.74, antiinfective
371.43, 2.95, 1, 6, 5, 66.02, antineoplastic
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
657.67, 1.99, 3, 12, 7, 154.54, antineoplastic
261.36, 2.81, 0, 3, 3, 29.54, cns
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
871.93, 3.66, 3, 17, 10, 245.82, antineoplastic
539.64, 3.62, 2, 7, 7, 94.22, antineoplastic
443.54, 3.7, 4, 5, 8, 118.3, cardio
563.67, 6.12, 1, 6, 14, 110.21, cardio
425.4, -2.0, 4, 8, 9, 196.92, antineoplastic
1620.69, -5.62, 22, 24, 35, 702.02, antiinfective
382.59, 7.03, 1, 2, 13, 36.32, antiinfective
532.47, 4.46, 0, 8, 8, 64.88, antiinfective
809.86, 3.17, 3, 16, 7, 206.05, antineoplastic
334.21, 3.27, 2, 3, 4, 75.13, antiinfective
334.09, -6.13, 2, 4, 7, 135.54, antiinfective
140.12, 0.0, 0, 0, 0, 0.0, antiinfective
843.06, 2.33, 4, 16, 11, 195.38, antiinfective
221.26, 2.12, 1, 3, 1, 47.56, antiinfective
622.93, 7.86, 3, 7, 25, 105.45, antineoplastic
828.01, 3.01, 3, 16, 12, 206.05, antiinfective
1816.72, 4.17, 21, 29, 22, 572.51, antiinfective
352.39, 3.94, 2, 5, 4, 75.99, antineoplastic
378.32, 4.45, 2, 3, 2, 45.15, antiinfective
1183.26, 1.55, 8, 26, 18, 359.34, antineoplastic
358.35, 2.64, 1, 8, 4, 120.39, cardio
321.46, 4.16, 1, 2, 3, 23.47, cns
401.54, 2.31, 5, 6, 18, 141.08, antiinfective
199.18, 0.49, 3, 3, 3, 83.55, cns
358.35, 2.64, 1, 8, 4, 120.39, cardio
352.48, 4.36, 1, 3, 6, 41.57, cardio
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
515.6, 0.29, 3, 9, 7, 151.09, antiinfective
495.69, 6.78, 1, 2, 6, 38.33, antiinfective
810.99, 3.99, 3, 12, 7, 154.1, antineoplastic
822.95, 3.43, 6, 15, 4, 216.66, antiinfective
76.05, 0.02, 1, 3, 0, 46.53, antiinfective
625.66, -2.32, 8, 12, 6, 257.92, antineoplastic
383.41, -0.56, 3, 9, 5, 147.21, antiinfective
430.38, 2.88, 2, 5, 5, 107.26, antineoplastic
723.65, 2.46, 5, 13, 10, 215.22, antineoplastic
317.52, 4.66, 0, 2, 6, 12.47, antiinfective
426.86, 4.07, 3, 5, 6, 115.57, antineoplastic
324.43, 1.06, 2, 6, 2, 69.64, antiinfective
503.07, 6.38, 2, 6, 8, 57.26, antineoplastic
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
302.32, 0.53, 2, 7, 2, 96.85, antineoplastic
296.41, 4.03, 0, 2, 0, 34.14, antineoplastic
414.53, 3.37, 0, 6, 6, 59.08, cardio
218.3, 1.76, 1, 3, 0, 26.71, cns
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
413.17, 1.92, 2, 8, 2, 141.0, cns
296.33, -1.11, 3, 5, 3, 124.01, antiinfective
271.13, -0.94, 2, 2, 1, 57.53, antineoplastic
311.38, 1.75, 2, 4, 2, 52.93, cns
840.79, -0.61, 11, 18, 9, 320.56, antiinfective
114.21, 2.09, 0, 1, 4, 0.0, antineoplastic
558.76, 5.56, 2, 7, 3, 94.45, antiinfective
251.72, 1.53, 2, 5, 1, 80.0, antiinfective
178.15, -0.61, 2, 5, 0, 88.84, antineoplastic
505.01, 4.02, 2, 5, 5, 78.87, cns
954.66, -0.0, 13, 26, 4, 447.09, antineoplastic
285.47, 2.35, 1, 2, 0, 38.91, antiinfective
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
360.41, -1.88, 2, 8, 8, 172.6, cns
236.3, 0.81, 3, 3, 3, 79.51, antiinfective
447.53, -3.85, 8, 12, 6, 213.72, antiinfective
198.22, 0.4, 2, 3, 2, 75.27, cns
324.4, 1.41, 1, 5, 3, 90.63, cardio
440.58, 4.75, 1, 6, 13, 72.74, cardio
389.89, 1.23, 3, 5, 2, 118.36, cardio
365.48, 3.34, 0, 5, 8, 47.36, cardio
315.87, 5.19, 0, 2, 3, 3.24, cns
355.39, -1.0, 4, 8, 7, 119.69, antiinfective
44.05, 0.02, 0, 1, 0, 12.53, antiinfective
207.28, 3.1, 1, 3, 8, 53.82, cardio
234.21, -0.11, 2, 4, 2, 100.7, antiinfective
493.56, 1.16, 1, 7, 6, 115.84, antiinfective
444.44, -0.5, 6, 9, 2, 181.62, antiinfective
163.17, -2.97, 5, 5, 1, 92.95, antiinfective
749.0, 1.9, 5, 14, 7, 180.08, antiinfective
218.25, 2.07, 2, 2, 1, 57.53, cns
190.21, 0.2, 4, 6, 2, 101.88, cardio
790.77, 6.98, 3, 14, 12, 193.58, antineoplastic
302.46, 4.27, 1, 2, 0, 37.3, antineoplastic
416.65, 5.7, 3, 3, 6, 60.69, cardio
277.27, 1.15, 1, 8, 3, 115.42, antineoplastic
641.66, -3.35, 9, 13, 7, 278.15, antineoplastic
570.65, 5.91, 1, 6, 3, 77.73, antineoplastic
405.44, 2.36, 3, 5, 6, 70.95, cardio
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
514.59, -1.04, 2, 10, 7, 153.92, antiinfective
344.45, 2.73, 2, 4, 2, 74.6, antineoplastic
579.65, 0.17, 5, 7, 11, 182.37, cns
511.57, -0.87, 3, 14, 8, 190.81, antiinfective
384.43, 2.07, 3, 6, 9, 92.81, cardio
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
405.44, 2.36, 3, 5, 6, 70.95, cardio
367.45, 5.16, 2, 2, 3, 59.64, cardio
583.6, -8.37, 13, 15, 9, 339.59, antiinfective
205.17, 0.53, 2, 4, 1, 77.84, cns
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
292.34, 3.17, 1, 3, 1, 50.16, cns
325.41, 2.06, 1, 4, 3, 41.93, cns
315.55, 5.49, 0, 1, 3, 3.24, antineoplastic
164.21, -0.11, 1, 4, 1, 41.05, cns
335.4, 1.19, 1, 6, 0, 76.07, antineoplastic
265.36, 2.48, 0, 3, 0, 19.37, cns
326.44, 1.55, 2, 4, 1, 46.94, cardio
280.31, 0.87, 2, 6, 4, 107.2, antiinfective
309.33, 4.44, 1, 2, 6, 21.26, cns
847.02, 4.62, 5, 14, 4, 205.55, antiinfective
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
393.58, 5.0, 2, 2, 12, 53.17, antiinfective
436.9, 4.47, 2, 6, 8, 109.58, cardio
297.27, -2.63, 0, 9, 6, 103.59, antineoplastic
1022.24, 2.32, 4, 14, 10, 231.2, antiinfective
1368.37, 3.2, 8, 27, 22, 308.44, antineoplastic
247.34, 2.48, 1, 3, 4, 38.33, cns
347.46, 3.6, 2, 2, 5, 48.13, cardio
309.27, 0.21, 2, 2, 0, 52.04, antineoplastic
207.27, 2.44, 1, 3, 1, 42.23, antiinfective
934.95, -1.01, 13, 19, 4, 383.47, antiinfective
685.7, -8.88, 15, 15, 10, 392.86, antiinfective
578.42, -6.92, 0, 14, 11, 259.24, cns
506.6, 6.97, 4, 4, 6, 106.18, antiinfective
526.54, 1.13, 5, 11, 4, 191.63, antineoplastic
429.48, -0.25, 4, 6, 6, 153.11, antiinfective
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
622.93, 7.86, 3, 7, 25, 105.45, antineoplastic
402.59, 4.57, 0, 5, 4, 40.62, cns
233.31, 2.09, 1, 3, 3, 38.33, cns
183.12, 1.29, 1, 4, 3, 93.58, antiinfective
811.88, 3.16, 4, 16, 9, 217.05, antineoplastic
390.52, 3.58, 3, 4, 10, 86.99, cardio
391.59, 6.25, 0, 3, 5, 7.12, antiinfective
339.37, 0.16, 2, 5, 3, 111.98, antiinfective
420.52, 3.94, 4, 4, 0, 132.36, antiinfective
521.64, 5.13, 3, 9, 6, 145.07, antineoplastic
218.3, 1.76, 1, 3, 0, 26.71, cns
615.4, 3.94, 2, 8, 5, 107.13, antineoplastic
403.53, -2.55, 8, 7, 17, 201.11, antineoplastic
557.61, 0.83, 2, 14, 10, 180.97, antiinfective
645.8, 1.11, 7, 9, 7, 199.95, cns
249.31, 1.94, 1, 4, 2, 41.93, cns
581.58, -8.16, 12, 15, 9, 336.43, antiinfective
323.1, -2.09, 4, 7, 2, 124.78, antiinfective
187.2, 1.02, 2, 3, 1, 71.77, cardio
938.12, 0.8, 11, 18, 3, 308.61, antiinfective
916.11, 1.83, 5, 18, 13, 238.67, antiinfective
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
954.66, -0.0, 13, 26, 4, 447.09, antineoplastic
422.46, -0.86, 1, 9, 7, 128.73, antiinfective
749.96, 5.25, 2, 10, 8, 156.89, antiinfective
616.76, 5.25, 5, 5, 12, 149.62, cns
574.68, 4.21, 3, 11, 22, 169.19, antineoplastic
184.49, 2.35, 0, 1, 2, 9.23, cns
307.97, -0.78, 4, 4, 5, 80.92, antineoplastic
666.58, -9.75, 14, 21, 10, 347.83, antiinfective
466.53, -1.31, 8, 8, 14, 213.72, cns
209.25, 0.17, 3, 6, 1, 91.16, cardio
887.12, 6.03, 2, 14, 9, 159.06, antiinfective
376.45, 1.6, 2, 5, 9, 95.94, cardio
930.98, 6.94, 2, 14, 8, 286.16, antiinfective
385.51, 1.2, 4, 5, 11, 118.97, antiinfective
384.43, 2.6, 1, 7, 4, 100.52, antiinfective
444.44, -0.5, 6, 9, 2, 181.62, antiinfective
193.25, 2.79, 0, 1, 0, 12.89, cns
1927.1, 7.1, 30, 28, 68, 937.47, cns
1290.55, 5.93, 7, 24, 11, 350.18, antiinfective
589.69, 0.42, 8, 11, 17, 214.84, antineoplastic
501.79, -2.46, 5, 11, 2, 235.92, antineoplastic
313.83, 3.98, 1, 2, 0, 23.47, cns
268.23, -2.32, 4, 8, 2, 133.49, antiinfective
200.26, -1.41, 2, 3, 1, 50.97, cns
720.96, 5.91, 4, 9, 17, 145.78, antiinfective
810.99, 3.99, 3, 12, 7, 154.1, antineoplastic
562.66, 4.79, 0, 7, 14, 113.04, cardio
443.17, 0.12, 4, 7, 6, 110.8, antiinfective
214.25, 0.29, 2, 3, 2, 89.26, antiinfective
689.66, -1.68, 3, 17, 8, 262.58, antiinfective
234.34, 3.16, 0, 2, 2, 34.14, antiinfective
367.36, 2.58, 0, 7, 1, 66.46, cns
1055.15, 0.63, 12, 20, 8, 341.74, antiinfective
611.62, 3.0, 4, 11, 8, 202.84, antiinfective
400.59, 6.35, 2, 3, 10, 42.52, antiinfective
909.01, -1.62, 12, 12, 22, 325.3, cns
356.06, 1.23, 0, 2, 4, 40.62, antineoplastic
788.84, 2.45, 1, 16, 7, 216.86, cardio
380.14, -0.42, 3, 6, 3, 104.55, antiinfective
422.43, 0.88, 8, 8, 6, 207.56, cardio
498.96, 6.35, 0, 0, 6, 0.0, cns
271.79, 2.78, 2, 3, 5, 41.49, cardio
179.2, 1.41, 2, 2, 6, 63.32, cns
206.25, 1.38, 2, 2, 3, 72.19, cns
260.27, -1.6, 4, 7, 3, 125.9, antineoplastic
455.47, -0.62, 3, 11, 7, 173.51, antiinfective
883.02, 7.73, 4, 10, 11, 193.1, antiinfective
1056.25, 0.82, 13, 20, 5, 358.3, antiinfective
380.44, 2.93, 3, 4, 6, 98.99, cardio
481.48, 0.51, 4, 7, 13, 167.97, cns
242.32, 2.0, 2, 2, 0, 58.88, cns
528.69, 4.53, 2, 7, 0, 94.45, antiinfective
393.52, 3.68, 0, 4, 7, 49.85, cns
395.42, -0.17, 4, 9, 5, 158.21, antiinfective
383.58, 5.24, 1, 3, 6, 40.54, cns
490.52, -0.04, 2, 11, 9, 156.61, antiinfective
518.37, 4.04, 0, 6, 7, 101.96, antineoplastic
185.18, -0.49, 3, 3, 2, 100.62, cns
384.55, 4.51, 2, 6, 5, 71.45, antiinfective
276.29, -0.18, 1, 4, 1, 83.55, cns
764.95, 3.25, 5, 13, 7, 182.83, cardio
405.62, 4.15, 1, 4, 4, 49.77, cns
1056.25, 0.82, 13, 20, 5, 358.3, antiinfective
212.21, -0.53, 1, 6, 5, 84.2, antineoplastic
268.27, -0.99, 4, 8, 2, 112.13, antineoplastic
335.47, 2.07, 2, 3, 5, 65.2, cardio
354.45, 3.27, 4, 4, 11, 118.2, antiinfective
382.83, 1.48, 2, 5, 3, 99.24, antiinfective
279.26, -1.68, 4, 9, 2, 139.54, antiinfective
369.53, 2.48, 2, 3, 3, 43.7, cardio
510.48, -0.17, 2, 12, 9, 189.06, antiinfective
692.21, 3.53, 2, 10, 5, 156.47, antineoplastic
405.44, 2.36, 3, 5, 6, 70.95, cardio
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
201.25, 0.52, 1, 3, 1, 57.61, antiinfective
260.33, 2.02, 2, 4, 7, 90.65, cns
288.41, 3.06, 1, 2, 6, 29.46, cardio
941.09, 6.07, 5, 16, 5, 226.22, antiinfective
214.05, 3.25, 1, 2, 0, 33.12, antiinfective
858.34, 10.48, 7, 9, 44, 168.94, antineoplastic
314.29, 2.14, 1, 6, 1, 66.38, antiinfective
530.66, 3.01, 4, 8, 3, 129.59, cardio
328.5, 6.08, 0, 2, 6, 26.3, antineoplastic
383.42, 1.27, 0, 8, 4, 103.35, antiinfective
1110.09, 5.57, 9, 20, 14, 354.89, antineoplastic
313.4, 2.98, 2, 4, 8, 58.56, cardio
1308.6, -5.9, 19, 19, 22, 572.46, antiinfective
278.4, 2.79, 1, 4, 7, 55.56, cns
101.13, 0.12, 1, 4, 0, 51.8, antineoplastic
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
703.24, 0.88, 7, 10, 13, 251.32, cardio
364.78, 2.69, 2, 6, 0, 96.36, antiinfective
213.23, 0.33, 3, 3, 4, 86.63, antiinfective
1153.0, -16.28, 23, 36, 19, 585.28, antineoplastic
109.13, 0.25, 2, 3, 0, 64.93, cardio
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
222.31, 0.64, 3, 4, 7, 104.24, antineoplastic
344.46, 3.93, 1, 3, 1, 36.36, cns
252.31, 2.25, 0, 4, 3, 52.6, antineoplastic
418.38, 0.72, 1, 6, 3, 103.7, antiinfective
232.24, 1.7, 2, 5, 3, 76.14, cardio
525.6, 2.66, 2, 8, 1, 139.04, antiinfective
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
592.69, 3.4, 0, 12, 19, 114.46, cardio
301.39, 2.96, 4, 4, 7, 72.72, cardio
287.45, 3.94, 1, 2, 5, 23.47, cns
395.85, 3.32, 3, 5, 2, 113.46, cardio
368.48, 6.79, 0, 2, 7, 26.3, cns
360.26, -0.08, 1, 6, 5, 125.32, cns
165.19, 1.45, 1, 3, 2, 52.32, cns
416.65, 5.7, 3, 3, 6, 60.69, cardio
477.88, -3.53, 5, 8, 2, 188.48, antiinfective
319.37, -0.52, 2, 6, 3, 79.36, antiinfective
332.44, 4.32, 3, 3, 2, 77.76, antiinfective
415.43, 3.75, 2, 7, 5, 101.38, antineoplastic
366.41, 1.12, 1, 7, 3, 94.59, antineoplastic
31.01, 0.33, 1, 2, 0, 40.92, cns
845.89, 1.63, 7, 18, 9, 260.67, antiinfective
207.28, 3.1, 1, 3, 8, 53.82, cardio
391.56, 5.97, 0, 3, 2, 39.19, antineoplastic
269.39, 3.66, 0, 2, 6, 12.47, cns
1368.37, 3.2, 8, 27, 22, 308.44, antineoplastic
261.09, 1.88, 1, 2, 5, 41.57, antineoplastic
777.05, 5.64, 5, 11, 3, 180.05, antiinfective
325.45, 2.37, 2, 5, 12, 59.95, cardio
557.61, 0.83, 2, 14, 10, 180.97, antiinfective
443.01, 4.81, 0, 5, 6, 32.78, cns
329.74, 3.43, 1, 4, 2, 84.6, antiinfective
411.46, 0.97, 6, 9, 9, 139.95, antineoplastic
349.32, 2.18, 1, 6, 5, 76.72, antiinfective
385.55, 4.12, 1, 4, 7, 49.77, cardio
249.35, 2.55, 2, 3, 3, 43.7, cns
313.3, 0.7, 2, 2, 0, 52.04, antineoplastic
307.29, 2.23, 1, 7, 4, 111.43, antiinfective
357.41, 0.15, 2, 8, 6, 94.08, cardio
372.42, 3.08, 2, 5, 10, 85.89, antiinfective
440.48, 2.78, 3, 5, 13, 130.16, cardio
138.06, -0.09, 2, 2, 1, 70.06, antiinfective
117.11, -0.06, 1, 3, 1, 61.77, antineoplastic
290.32, 1.26, 2, 7, 5, 105.51, antiinfective
382.4, -1.89, 2, 10, 5, 150.04, antiinfective
178.24, 1.56, 0, 2, 3, 33.2, cns
240.43, 2.64, 0, 0, 6, 0.0, cardio
870.0, -1.3, 10, 12, 27, 334.96, cns
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
312.48, 2.55, 2, 1, 5, 24.67, cns
670.68, -1.6, 5, 10, 12, 242.87, antiinfective
567.06, 3.2, 3, 9, 9, 154.25, cardio
339.48, 4.28, 0, 3, 8, 29.54, cns
376.58, 5.66, 3, 3, 10, 60.69, cns
179.31, 2.69, 1, 1, 0, 26.02, cns
73.12, 0.72, 0, 2, 0, 12.36, antiinfective
362.47, 3.27, 1, 3, 4, 49.41, cns
309.8, 2.79, 1, 5, 5, 60.17, antiinfective
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
527.53, 1.03, 5, 11, 4, 185.84, antineoplastic
924.09, 0.71, 12, 17, 3, 319.61, antiinfective
504.97, 0.51, 5, 8, 9, 148.79, antiinfective
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
251.44, 4.19, 0, 2, 2, 3.24, cns
357.89, 5.4, 2, 4, 6, 48.39, antiinfective
511.57, -0.87, 3, 14, 8, 190.81, antiinfective
352.87, 5.43, 0, 2, 4, 33.2, antineoplastic
334.46, 4.06, 2, 3, 12, 74.6, antineoplastic
202.26, 1.82, 2, 2, 1, 37.05, cns
357.33, 3.25, 5, 4, 0, 118.21, antineoplastic
511.58, 0.84, 2, 12, 7, 162.51, antiinfective
270.37, 4.79, 2, 2, 5, 40.46, antineoplastic
1023.14, -1.74, 6, 28, 16, 381.62, antiinfective
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
371.39, 2.58, 1, 8, 5, 103.55, cardio
492.69, 4.26, 0, 6, 5, 56.75, cns
916.37, -2.33, 11, 27, 16, 480.5, cardio
488.56, -10.91, 11, 10, 6, 296.5, antiinfective
303.36, 0.92, 1, 5, 4, 62.3, cns
232.28, 1.35, 2, 3, 2, 72.19, antineoplastic
199.18, 0.49, 3, 3, 3, 83.55, cns
515.6, 0.29, 3, 9, 7, 151.09, antiinfective
586.02, -6.36, 0, 14, 11, 259.24, cns
361.53, 4.84, 1, 2, 0, 23.47, cns
402.92, 2.34, 1, 5, 3, 53.01, cardio
495.03, 4.32, 1, 6, 6, 83.36, antineoplastic
1440.59, -8.25, 22, 33, 39, 665.12, antineoplastic
1167.19, -16.74, 26, 30, 18, 679.18, antiinfective
447.53, -3.85, 8, 12, 6, 213.72, antiinfective
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
374.37, 4.52, 0, 3, 3, 53.02, antineoplastic
192.04, 2.3, 1, 1, 0, 32.86, antiinfective
474.52, -2.75, 3, 8, 7, 166.51, antiinfective
384.26, 3.96, 1, 5, 4, 64.63, cardio
610.72, 1.67, 6, 6, 12, 183.64, cns
347.37, -1.48, 2, 7, 4, 131.11, antiinfective
309.41, 0.63, 4, 5, 5, 81.95, cardio
382.4, -1.89, 2, 10, 5, 150.04, antiinfective
502.63, 5.48, 0, 4, 4, 39.68, antiinfective
264.24, -1.87, 1, 6, 3, 133.07, antiinfective
753.01, 1.9, 5, 14, 8, 180.08, antiinfective
614.65, -8.9, 13, 19, 9, 353.11, antiinfective
350.4, -1.89, 1, 7, 4, 102.37, antiinfective
416.47, 3.74, 0, 7, 3, 92.04, cns
598.67, 2.82, 3, 8, 15, 156.7, antiinfective
663.41, 6.42, 3, 8, 22, 108.33, antiinfective
376.45, 1.6, 2, 5, 9, 95.94, cardio
290.37, 0.26, 1, 4, 2, 97.54, cns
358.22, 1.38, 2, 4, 6, 83.47, antiinfective
149.24, 1.97, 1, 1, 2, 26.02, cns
277.37, 2.3, 2, 6, 7, 89.85, antiinfective
302.37, 2.24, 1, 4, 6, 64.09, antiinfective
1816.72, 4.17, 21, 29, 22, 572.51, antiinfective
585.62, 2.52, 4, 8, 13, 177.72, antiinfective
592.55, 3.3, 9, 12, 4, 209.76, antiinfective
207.28, 3.1, 1, 3, 8, 53.82, cardio
505.58, 0.94, 2, 12, 7, 166.42, antiinfective
121.11, 0.05, 0, 2, 1, 40.13, antiinfective
401.49, 1.22, 0, 7, 6, 86.71, cns
1040.24, -4.03, 12, 15, 19, 405.32, cardio
602.59, -0.93, 3, 13, 2, 190.95, cns
435.29, 4.72, 2, 7, 4, 120.64, antiinfective
266.39, 3.53, 1, 2, 4, 15.27, cns
480.57, -1.28, 2, 10, 7, 150.04, antiinfective
331.4, 3.34, 2, 5, 7, 102.24, cardio
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
2295.87, -6.64, 29, 33, 46, 891.04, cardio
1263.41, -3.52, 16, 17, 23, 506.76, antiinfective
310.41, 1.93, 3, 5, 2, 83.6, antiinfective
552.58, -3.17, 2, 16, 8, 220.88, antiinfective
877.05, 4.74, 6, 15, 5, 216.66, antiinfective
546.59, -1.3, 3, 11, 9, 191.22, antiinfective
279.25, 1.87, 1, 6, 5, 106.74, cns
243.31, 2.53, 1, 2, 4, 38.33, cns
769.97, 6.07, 3, 12, 4, 154.73, antiinfective
577.73, 2.52, 3, 6, 5, 118.21, cardio
637.77, 4.7, 3, 9, 3, 136.54, antiinfective
333.14, -0.46, 3, 6, 3, 104.55, antiinfective
334.51, 5.06, 0, 2, 9, 27.03, cardio
1101.44, 4.37, 4, 11, 13, 235.38, antiinfective
247.26, -0.19, 3, 6, 2, 109.82, antiinfective
1009.19, 4.69, 8, 16, 26, 286.99, cardio
281.48, 5.51, 1, 1, 15, 43.09, cns
958.24, 6.2, 3, 14, 9, 204.66, antineoplastic
788.84, 2.45, 1, 16, 7, 216.86, cardio
405.5, 1.24, 4, 5, 12, 132.96, cardio
447.53, -3.85, 8, 12, 6, 213.72, antiinfective
237.3, 1.45, 1, 4, 5, 39.72, cns
654.71, 3.12, 3, 10, 7, 144.28, antineoplastic
119.08, -1.08, 2, 3, 3, 77.84, antineoplastic
151.21, 1.07, 2, 2, 2, 46.25, cns
644.77, -7.44, 4, 15, 8, 225.79, antiinfective
327.38, 1.3, 2, 5, 2, 70.0, cns
419.38, 1.35, 2, 6, 3, 100.87, antiinfective
469.33, 1.87, 1, 7, 4, 115.57, antiinfective
136.15, 1.31, 1, 1, 2, 37.3, antineoplastic
467.65, 4.41, 2, 5, 4, 62.16, cns
133.19, 1.5, 1, 1, 1, 26.02, cns
776.04, 6.0, 3, 10, 19, 138.02, antiinfective
281.44, 4.99, 1, 1, 5, 12.03, cardio
268.41, 1.76, 1, 3, 2, 41.99, cardio
660.73, 8.68, 0, 6, 19, 62.32, cns
511.58, 0.84, 2, 12, 7, 162.51, antiinfective
398.47, 1.76, 4, 8, 4, 97.56, antineoplastic
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
323.44, 2.97, 2, 2, 6, 53.17, antiinfective
428.47, -1.58, 3, 7, 6, 155.94, antiinfective
182.08, -0.43, 2, 2, 3, 63.32, antineoplastic
401.89, 2.55, 1, 6, 6, 89.69, antineoplastic
233.31, 2.31, 0, 3, 2, 21.7, cardio
374.42, 2.13, 2, 6, 4, 101.45, antineoplastic
181.28, 0.87, 0, 1, 2, 23.06, antiinfective
1349.51, 3.86, 6, 19, 7, 363.76, antiinfective
247.34, 2.21, 0, 3, 3, 29.54, cns
262.27, 2.66, 2, 3, 0, 58.2, antineoplastic
827.33, 11.99, 1, 7, 11, 69.62, antiinfective
335.76, 3.5, 2, 3, 6, 66.4, cns
579.65, 0.17, 5, 7, 11, 182.37, cns
649.77, 3.51, 3, 9, 8, 148.59, antineoplastic
1713.1, 4.59, 6, 25, 17, 407.62, antiinfective
654.61, 3.19, 3, 6, 5, 118.21, cns
362.5, 1.29, 1, 4, 3, 57.58, cns
361.45, -1.07, 4, 6, 8, 132.12, antineoplastic
574.58, 8.23, 0, 4, 15, 46.61, cns
727.84, -4.03, 12, 12, 22, 333.91, antineoplastic
793.95, 1.61, 5, 15, 8, 218.82, cardio
301.47, 4.31, 0, 2, 5, 12.47, cns
310.83, 4.65, 0, 2, 4, 17.29, cardio
866.1, 4.98, 6, 14, 11, 225.92, antiinfective
1281.89, 21.71, 4, 8, 56, 199.32, cardio
822.95, 3.43, 6, 15, 4, 216.66, antiinfective
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
451.53, 6.23, 1, 3, 5, 23.47, cns
250.3, 0.45, 2, 3, 6, 67.43, cns
496.55, -0.36, 5, 10, 3, 162.98, antineoplastic
502.53, 5.3, 3, 4, 3, 111.2, antineoplastic
277.75, 3.16, 0, 2, 1, 35.91, cns
1879.68, 1.16, 24, 33, 20, 662.41, antiinfective
219.24, 1.46, 0, 3, 2, 46.61, cns
329.44, 3.26, 3, 4, 2, 75.71, cns
317.35, 1.81, 1, 6, 1, 88.69, cardio
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
273.21, 0.31, 2, 6, 2, 126.68, cns
606.78, 8.68, 2, 3, 14, 57.53, antineoplastic
177.22, -0.67, 2, 3, 5, 80.39, antineoplastic
507.69, 4.48, 2, 8, 2, 109.25, antineoplastic
268.27, -0.99, 4, 8, 2, 112.13, antineoplastic
586.02, -3.76, 5, 9, 11, 245.09, cns
645.8, 1.11, 7, 9, 7, 199.95, cns
338.99, 6.49, 0, 0, 13, 0.0, cardio
337.35, 1.12, 1, 5, 4, 71.11, antiinfective
654.71, 3.12, 3, 10, 7, 144.28, antineoplastic
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
435.89, 2.55, 2, 6, 4, 112.74, antiinfective
506.47, 0.81, 4, 11, 5, 193.16, antineoplastic
336.47, 5.68, 2, 3, 15, 66.76, cardio
616.76, 5.25, 5, 5, 12, 149.62, cns
416.38, 0.34, 5, 9, 4, 149.82, cns
307.44, 4.42, 0, 2, 4, 12.47, cns
287.42, 3.24, 1, 3, 10, 77.43, cns
845.02, 4.6, 2, 15, 11, 197.87, antiinfective
353.51, 4.65, 0, 3, 8, 29.54, cns
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
309.41, 3.45, 1, 3, 3, 30.49, cns
270.76, 3.63, 0, 2, 1, 15.6, cns
270.72, 3.13, 1, 2, 1, 41.46, cns
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
1252.37, 6.56, 6, 16, 12, 207.54, antineoplastic
211.11, -1.59, 4, 2, 3, 136.45, cardio
828.01, 3.01, 3, 16, 12, 206.05, antiinfective
171.16, -0.77, 2, 4, 4, 114.53, antineoplastic
365.21, -1.72, 5, 10, 4, 186.07, antineoplastic
1879.68, 1.16, 24, 33, 20, 662.41, antiinfective
916.37, -2.33, 11, 27, 16, 480.5, cardio
306.24, 5.18, 1, 1, 2, 12.03, cns
498.62, 4.05, 2, 7, 4, 114.04, cardio
368.34, 1.97, 4, 7, 0, 124.29, antineoplastic
169.14, 0.22, 4, 4, 1, 89.79, antineoplastic
177.12, 0.69, 0, 1, 2, 20.31, antiinfective
602.64, -0.61, 9, 12, 10, 242.98, antiinfective
309.4, 1.82, 3, 5, 2, 83.6, antiinfective
401.53, 2.9, 1, 5, 7, 79.37, cardio
